# The melee delivery as it sits under /Game/Fathom/Melee: one row per asset, written by
# Tools/Editor/audit-melee-delivery.py after the import. Regenerate after any change there.
#
folder	asset	class	length_s	frames	rate_scale	root_motion	notifies	curves_or_sockets_or_materials	skeleton
Clips/Horizontal_Left	2h_FP_Sword_L_ParryPose_L_HorizontalRiposte_v01	AnimSequence	0.5000	30	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	2h_FP_Zwei_L_Horizontal_v01	AnimSequence	2.4167	145	1.000	off	0	AutoAlignment	SKM_Mannequin_Skeleton
Clips/Horizontal_Left	2h_TP_Sword_L_ParryPose_L_HorizontalRiposte_v01	AnimSequence	0.5000	30	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	2h_TP_Zwei_L_Horizontal_v01	AnimSequence	2.4167	145	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	Curve_Release_Horizontal_L	CurveFloat							
Clips/Horizontal_Left	horizontal_L_2h_fpp	AnimSequence	2.1000	126	1.000	off	0	AutoAlignment	SKM_Mannequin_Skeleton
Clips/Horizontal_Left	horizontal_L_2h_fpp_exhausted	AnimSequence	2.3333	140	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	horizontal_L_2h_tpp	AnimSequence	2.1000	126	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	horizontal_L_2h_tpp_exhausted	AnimSequence	2.3333	140	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	riposte_deflect_horizontal_L_2h_fpp	AnimSequence	0.2000	12	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	riposte_deflect_horizontal_L_2h_tpp	AnimSequence	0.5000	30	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	riposte_horizontal_L_2h_fpp	AnimSequence	0.5000	30	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	riposte_horizontal_L_2h_tpp	AnimSequence	0.5000	30	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	riposte_perfect_horizontal_L_2h_fpp	AnimSequence	0.2000	12	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Left	riposte_perfect_horizontal_L_2h_tpp	AnimSequence	0.5000	30	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Right	2h_FP_Sword_L_ParryPose_R_HorizontalRiposte_v01	AnimSequence	0.5000	30	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Right	2h_FP_Zwei_R_Horizontal_v01	AnimSequence	2.4167	145	1.000	off	0	AutoAlignment	SKM_Mannequin_Skeleton
Clips/Horizontal_Right	2h_TP_Sword_L_ParryPose_R_HorizontalRiposte_v01	AnimSequence	0.5000	30	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Right	2h_TP_Zwei_R_Horizontal_v01	AnimSequence	2.4167	145	1.000	off	0		SKM_Mannequin_Skeleton
Clips/Horizontal_Right	Curve_Release_Horizontal_R	CurveFloat							
Clips/Horizontal_Right	horizontal_R_2h_fpp	AnimSequence	2.1000	126	1.000	off	0	AutoAlignment	SKM_Mannequin_Skeleton
