# Snapshot of the MCP toolset registry this editor exposes, taken 2026-09-04 through
# Tools/McpBridge/ue-mcp.sh list against the open project: 52 toolsets.
#
# HOW TO USE: before planning or executing engine work — the same trigger as
# Working-In-Unreal.md — run list_toolsets and diff against this file.
#   A new row  = the surface grew; re-read Working-In-Unreal.md's limits.
#   A gone row = something was removed; claims depending on it are now suspect.
# Regenerate and commit whenever it legitimately changes, with a dated note.
#
# SCOPE, deliberately: toolset-level only, not per-tool. A full per-tool index
# would be ~500 rows and several describe_toolset calls are too large to return
# at all. This catches "a toolset appeared"; it does NOT catch "a tool appeared
# inside an existing toolset". That limitation is the price of it staying cheap
# enough to maintain.
#
# NOT read wholesale — grep it.
#
toolset	note
AutomationTestToolset.AutomationTestToolset	UE automation test discovery and runs; never used here
ConfigSettingsToolset.ConfigSettingsToolset	read/edit config sections
DataRegistryToolset.DataRegistryTools	data registry queries
DataflowAgent.DataflowAgentToolset	dataflow graphs
EditorToolset.EditorAppToolset	PIE control, cvar search, viewport/asset capture. NO set-cvar, NO exec command
EditorToolset.LogsToolset	output log reads; pass category:"" and maxEntries:0
GASToolsets.AbilitySystemInspectorToolset	runtime ASC inspection during PIE
GASToolsets.AttributeSetToolset	AttributeSet class discovery
GASToolsets.GameplayCueToolset	gameplay cues
GameFeaturesToolset.GameFeaturesToolset	game feature plugins
GameplayTagsToolset.GameplayTagsToolset	gameplay tag manager
NiagaraToolsets.NiagaraToolset_Assets	Niagara script discovery
NiagaraToolsets.NiagaraToolset_Blueprint	Niagara/Blueprint bridging
NiagaraToolsets.NiagaraToolset_Component	Niagara components
NiagaraToolsets.NiagaraToolset_Info	Niagara enums and guidance
NiagaraToolsets.NiagaraToolset_System	Niagara systems
PCGToolset.PCGSpatialToolset	PCG spatial
PCGToolset.PCGToolset	PCG graphs
PhysicsToolsets.PhysicsAssetToolset	physics assets
PluginToolset.PluginToolset	plugin create/enable/query
SemanticSearchToolset.SemanticSearchToolset	hybrid vector + BM25 asset search
SlateInspectorToolset.SlateInspectorToolset	Playwright-style editor UI automation. Drives the console and menus; does NOT reach the game
ToolsetRegistry.AgentSkillToolset	list/read/create skills
UMGToolSet.UMGToolSet	UMG widget trees
WorldConditionsToolset.WorldConditionTools	WorldCondition structs
aimodule_toolset.toolsets.behavior_tree.BehaviorTreeTools	BehaviorTree assets
animation_toolset.toolsets.conditions.SequencerConditionTools	Sequencer runtime conditions
animation_toolset.toolsets.controlrig.ControlRigTools	Control Rig assets and graphs
animation_toolset.toolsets.controlrig_sequencer.SequencerControlRigTools	Control Rig in Sequencer
animation_toolset.toolsets.custom_bindings.SequencerCustomBindingTools	Sequencer binding types
animation_toolset.toolsets.import_export.SequencerImportExportTools	Sequencer FBX/AnimSequence import-export
animation_toolset.toolsets.keyframing.SequencerKeyframingTools	Sequencer keyframing
animation_toolset.toolsets.outliner.SequencerOutlinerTools	Sequencer outliner
animation_toolset.toolsets.sequencer.SequencerTools	Level Sequences
conversation_toolset.toolsets.conversation.ConversationTools	conversation graphs
editor_toolset.toolsets.actor.ActorTools	actor transforms, labels, components
editor_toolset.toolsets.asset.AssetTools	find/load/save/duplicate/move/delete; path-string fns false-negative, use load_asset
editor_toolset.toolsets.blueprint.BlueprintTools	graphs, nodes, pins, variables, compile -- AND create/set_parent: it makes Blueprint assets (2026-08-18). describe_toolset overflows to a file; grep that file for tool names
editor_toolset.toolsets.curve_table.CurveTableTools	CurveTables
editor_toolset.toolsets.data_asset.DataAssetTools	Data Assets
editor_toolset.toolsets.data_table.DataTableTools	DataTables
editor_toolset.toolsets.material.MaterialTools	materials; creates whole graphs end to end
editor_toolset.toolsets.material_instance.MaterialInstanceTools	material instances
editor_toolset.toolsets.object.ObjectTools	list/get/set properties on any UObject or CDO; set_properties takes values as a JSON string
editor_toolset.toolsets.primitive.PrimitiveTools	primitive components
editor_toolset.toolsets.programmatic.ProgrammaticToolset	batches other tools through a sandboxed Python script
editor_toolset.toolsets.scene.SceneTools	level actors, placement, traces, camera
editor_toolset.toolsets.skeletal_mesh.SkeletalMeshTools	skeletal meshes, bones, sockets; get_bone_names needs the MESH not the skeleton
editor_toolset.toolsets.static_mesh.StaticMeshTools	static meshes
editor_toolset.toolsets.string_table.StringTableTools	StringTables
editor_toolset.toolsets.texture.TextureTools	textures
state_tree_toolset.toolsets.state_tree.StateTreeTools	StateTree assets
